2016 Presidential Election,Trump,Clinton, Other,
North Carolina,2339603,2162074,127794,
Indiana,1556220,1031953,133856,
Wyoming,174248,55949,18545,
Utah,452086,274188,258683,
Arizona,1021154,936250,105406,
Montana,274120,174521,34933,
Kentucky,1202942,628834,90442,
California,3916209,7362490,675618,
Kansas,656009,414788,76346,
Delaware,185103,235581,20851,
Florida,4605515,4485745,295490,
Pennsylvania,2912941,2844705,212461,
Iowa,798923,650790,93167,
Mississippi,678457,462001,22529,
Illinois,2118179,2977498,278603,
Texas,4681590,3867816,353831,
Connecticut,668266,884432,70844,
Georgia,2068623,1837300,123641,
Maryland,873646,1497951,102946,
Virginia,1731156,1916845,196786,
Idaho,407199,189677,91359,
Oregon,742506,934631,131438,
Vermont,95053,178179,18181,
Maine,334838,354873,51839,
Oklahoma,947934,419788,83334,
Tennessee,1517402,867110,100179,
Alabama,1306925,718084,53156,
Arkansas,677904,378729,51982,
South Carolina,1143611,849469,91364,
Washington,1129120,1610524,218298,
Nebraska,485819,273858,45961,
West Virginia,486198,187457,34571,
Colorado,1137455,1212209,214521,
Massachusetts,1083069,1964768,183694,
Missouri,1585753,1054889,134456,
North Dakota,216133,93526,27309,
Wisconsin,1403694,1380823,152809,
Nevada,511319,537753,73918,
District of Columbia,11553,260223,8496,
New York,2640570,4143874,261731,
Rhode Island,179421,249902,20798,
South Dakota,227701,117442,24904,
Minnesota,1322891,1366676,226837,
New Jersey,1535513,2021756,117624,
Michigan,2279805,2268193,242919,
New Mexico,315875,380724,86528,
New Hampshire,345789,348521,37243,
Louisiana,1178004,779535,70192,
Ohio,2771984,2317001,236410,
